episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
52,1,local_forward_06,-1.3999312253306235,-0.4999983731334375,2.150778534683409e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.0917016188266,True,False,False,0.2723218083600827,0.48164787888526917,0.6000000000000001,0.3491088951637982,0.3491088951637982,0.25089110483620186,27,1.0,0.0,35.1,1011.9125057532829,running,-708.13037109375,313.2543029785156,0.276010125875473
53,1,local_forward_06,-1.3999312735581084,-0.49999833131463695,2.137723455714648e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1012.7372294247724,True,False,False,0.27020244492864953,0.48534461855888367,0.5999999999999999,0.34992749988705374,0.34992749988705374,0.25007250011294613,33,1.0,0.0,35.0,1011.955361409388,running,0.0,456.54833984375,0.2774966061115265
54,1,local_forward_06,-1.3999333346581924,-0.4999983586739358,2.388418950460646e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.4399710004809,True,False,False,0.27047201628274,0.48995909094810486,0.6,0.3489610205713883,0.3489610205713883,0.2510389794286117,30,1.0,0.0,34.8,1011.9660626485672,running,0.0,330.5237731933594,0.27885743975639343
55,1,local_forward_06,-1.3999313012212746,-0.49999833785848624,2.1213378353413916e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.1864593049319,True,False,False,0.2800905541700381,0.4918728470802307,0.6000000000000001,0.3478329718404866,0.3478329718404866,0.2521670281595135,29,1.0,0.0,34.5,1011.9487099362419,running,-731.330810546875,918.5709228515625,0.2804636061191559
56,1,local_forward_06,-1.3999312509099489,-0.49999837905027755,2.137540696501076e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.7927684995442,True,False,False,0.27929815917515965,0.49201130867004395,0.6000000000000001,0.34568774517508777,0.34568774517508777,0.2543122548249123,30,1.0,0.0,34.25,1011.9552603297923,running,-700.8523559570312,281.46331787109375,0.2821946442127228
57,1,local_forward_06,-1.399933322559347,-0.4999983695178217,2.364097675824361e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.7765435140004,True,False,False,0.2762258581494894,0.4817378520965576,0.6000000000000001,0.34656155376517367,0.34656155376517367,0.2534384462348264,30,1.0,0.0,33.85,1011.9396514693705,running,-715.2770385742188,546.748779296875,0.2835814952850342
58,1,local_forward_06,-1.3999312179418755,-0.4999983750203498,2.1358831457102184e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.1230588463535,True,False,False,0.27520214299813506,0.4733481705188751,0.6,0.3498017179733779,0.3498017179733779,0.2501982820266221,29,1.0,0.0,33.45,1011.9032986627884,running,0.0,900.304443359375,0.2853343188762665
59,1,local_forward_06,-1.399932091969089,-0.49999838184598155,2.338516002035162e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.542467787774,True,False,False,0.27902449589381667,0.4934476315975189,0.6,0.3468023105995612,0.3468023105995612,0.2531976894004388,30,1.0,0.0,33.0,1011.8876649512573,promoted,0.0,781.991455078125,0.2873281240463257
60,2,local_slight_left_06,-1.449931777480173,-0.24999840984087557,2.2723963619193758e-06,local_offset,0.55,0.25,0.0,-2.0,-0.5,0.0,1012.6305321724026,True,False,False,0.30209971032186916,0.4883100390434265,0.6041522986797285,0.3499186236566638,0.3499186236566638,0.2542336750230647,38,1.0,0.0,38.0,1012.6305321724026,running,0.0,548.699951171875,0.2892172038555145
61,2,local_slight_left_06,-1.4499318355888262,-0.24999842474538023,2.150898296265122e-06,local_offset,0.55,0.25,0.0,-2.0,-0.5,0.0,1012.1059696640195,True,False,False,0.2962431752960384,0.4809420108795166,0.6041522986797286,0.3454240043383529,0.3454240043383529,0.25872829434137573,34,1.0,0.0,36.0,1012.3682509182111,running,0.0,547.955078125,0.2900134325027466
62,2,local_slight_left_06,-1.4499317730438737,-0.24999844829689294,2.1979308387749907e-06,local_offset,0.55,0.25,0.0,-2.0,-0.5,0.0,1011.6995032217872,True,False,False,0.2898676922124285,0.4821647107601166,0.6041522986797285,0.34858017372902955,0.34858017372902955,0.255572124950699,32,1.0,0.0,34.666666666666664,1012.145335019403,running,0.0,608.7567749023438,0.29058554768562317
63,2,local_slight_left_06,-1.4499317557090934,-0.24999843962808552,2.1997930321601708e-06,local_offset,0.55,0.25,0.0,-2.0,-0.5,0.0,1011.504745983406,True,False,False,0.29545221113601033,0.4871402084827423,0.6041522986797286,0.3467786372825995,0.3467786372825995,0.25737366139712914,31,1.0,0.0,33.75,1011.9851877604037,running,-734.257080078125,719.8800048828125,0.29106009006500244
64,2,local_slight_left_06,-1.4499318408046802,-0.24999845357034994,2.112272451690982e-06,local_offset,0.55,0.25,0.0,-2.0,-0.5,0.0,1011.8894321000221,True,False,False,0.2878363105685942,0.48764127492904663,0.6041522986797285,0.3478029290261168,0.3478029290261168,0.2563493696536117,32,1.0,0.0,33.4,1011.9660366283275,running,-720.329833984375,661.6962890625,0.2916739583015442
65,2,local_slight_left_06,-1.4499318556736904,-0.24999838694666707,2.221261134744431e-06,local_offset,0.55,0.25,0.0,-2.0,-0.5,0.0,1011.3280490707197,True,False,False,0.28728219388199344,0.47781962156295776,0.6041522986797285,0.34565723764749434,0.34565723764749434,0.2584950610322342,29,1.0,0.0,32.666666666666664,1011.8597053687262,running,0.0,394.1736755371094,0.2929161489009857
66,2,local_slight_left_06,-1.449931775644911,-0.24999844882529623,2.1959534395641388e-06,local_offset,0.55,0.25,0.0,-2.0,-0.5,0.0,1011.6889849553287,True,False,False,0.29690899587059294,0.4875733554363251,0.6041522986797287,0.34668191396361947,0.34668191396361947,0.2574703847161093,34,1.0,0.0,32.857142857142854,1011.8353167382409,running,0.0,491.11956787109375,0.29353922605514526
