stamp_sec,nav2_linear_x,nav2_angular_z,drl_linear_x,drl_angular_z,linear_abs_diff,angular_abs_diff,angular_sign_disagreement,nav2_zero,drl_zero
1777711843.0138195,0.0,0.0,0.056796595454216,0.69520503282547,0.056796595454216,0.69520503282547,False,True,False
1777711843.1143246,0.0,0.0,0.056767236441373825,0.6962410807609558,0.056767236441373825,0.6962410807609558,False,True,False
1777711843.214988,0.0,0.0,0.056767236441373825,0.6962411403656006,0.056767236441373825,0.6962411403656006,False,True,False
1777711843.3156052,0.0,0.0,0.056787893176078796,0.6953186988830566,0.056787893176078796,0.6953186988830566,False,True,False
1777711843.4161568,0.0,0.0,0.056787893176078796,0.6953186988830566,0.056787893176078796,0.6953186988830566,False,True,False
1777711843.516691,0.0,0.0,0.05681779235601425,0.6956822276115417,0.05681779235601425,0.6956822276115417,False,True,False
1777711843.6173863,0.0,0.0,0.05681779608130455,0.6956822276115417,0.05681779608130455,0.6956822276115417,False,True,False
1777711843.7179847,0.0,0.0,0.05673022195696831,0.6978015303611755,0.05673022195696831,0.6978015303611755,False,True,False
1777711843.8185952,0.0,0.0,0.05673022195696831,0.6978015899658203,0.05673022195696831,0.6978015899658203,False,True,False
1777711843.9192083,0.0,0.0,0.05676203593611717,0.6980566382408142,0.05676203593611717,0.6980566382408142,False,True,False
1777711844.0198386,0.0,0.0,0.05676203593611717,0.6980566382408142,0.05676203593611717,0.6980566382408142,False,True,False
1777711844.1206105,0.0,0.0,0.056902263313531876,0.6941192746162415,0.056902263313531876,0.6941192746162415,False,True,False
1777711844.221215,0.0,0.0,0.056902263313531876,0.6941192746162415,0.056902263313531876,0.6941192746162415,False,True,False
1777711844.321735,0.0,0.0,0.056854214519262314,0.6945927739143372,0.056854214519262314,0.6945927739143372,False,True,False
1777711844.4223697,0.0,0.0,0.056854214519262314,0.6945927143096924,0.056854214519262314,0.6945927143096924,False,True,False
1777711844.5229645,0.0,0.0,0.05673162639141083,0.6982919573783875,0.05673162639141083,0.6982919573783875,False,True,False
1777711844.624117,0.0,0.0,0.05673162639141083,0.6982918977737427,0.05673162639141083,0.6982918977737427,False,True,False
1777711844.724708,0.0,0.0,0.05675606057047844,0.697319746017456,0.05675606057047844,0.697319746017456,False,True,False
1777711844.8253932,0.0,0.0,0.05675606429576874,0.697319746017456,0.05675606429576874,0.697319746017456,False,True,False
