stamp_sec,nav2_linear_x,nav2_angular_z,drl_linear_x,drl_angular_z,linear_abs_diff,angular_abs_diff,angular_sign_disagreement,target_source,target_distance,target_heading,nearest_obstacle,safety_stop,drl_target_sign_disagreement,nav2_zero,drl_zero
1777713488.4550905,0.23263157894736847,0.20842105263157887,0.03999999910593033,0.5192168354988098,0.19263157984143814,0.310795782867231,False,plan_lookahead,0.518,0.451,0.618,false,False,False,False
1777713488.5557117,0.21894736842105267,0.1578947368421052,0.03999999910593033,0.5192168354988098,0.17894736931512234,0.3613220986567046,False,plan_lookahead,0.518,0.451,0.618,false,False,False,False
1777713488.6561124,0.21894736842105267,0.1578947368421052,0.03999999910593033,0.39852893352508545,0.17894736931512234,0.24063419668298025,False,plan_lookahead,0.518,0.451,0.618,false,False,False,False
1777713488.7566082,0.21894736842105267,0.1578947368421052,0.03999999910593033,0.39852893352508545,0.17894736931512234,0.24063419668298025,False,plan_lookahead,0.494,0.45,0.618,false,False,False,False
1777713488.8572354,0.03921052631578947,0.0,0.03999999910593033,0.39852893352508545,0.0007894727901408549,0.39852893352508545,False,plan_lookahead,0.494,0.45,0.618,false,False,False,False
1777713488.9575663,0.03921052631578947,0.0,0.0,0.0,0.03921052631578947,0.0,False,plan_lookahead,0.494,0.45,0.618,false,False,False,True
1777713489.0579383,0.03921052631578947,0.0,0.0,0.0,0.03921052631578947,0.0,False,plan_lookahead,0.478,0.447,0.645,false,False,False,True
1777713489.1584384,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.478,0.447,0.645,false,False,True,True
1777713489.2588196,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.478,0.447,0.645,false,False,True,True
1777713489.3592424,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.455,0.433,0.645,false,False,True,True
1777713489.4597976,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.455,0.433,0.645,false,False,True,True
1777713489.5602043,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.455,0.433,0.645,false,False,True,True
1777713489.6605535,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.432,0.419,0.677,false,False,True,True
1777713489.7612982,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.432,0.419,0.677,false,False,True,True
1777713489.8616252,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.432,0.419,0.677,false,False,True,True
1777713489.9619691,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.417,0.376,0.677,false,False,True,True
1777713490.0626945,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.417,0.376,0.677,false,False,True,True
1777713490.1630282,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.417,0.376,0.677,false,False,True,True
1777713490.263465,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.403,0.332,0.701,false,False,True,True
1777713490.3642032,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.403,0.332,0.701,false,False,True,True
1777713490.4646468,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.403,0.332,0.701,false,False,True,True
1777713490.5649612,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.38,0.314,0.701,false,False,True,True
1777713490.6654701,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.38,0.314,0.701,false,False,True,True
1777713490.7658417,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.38,0.314,0.701,false,False,True,True
1777713490.8661819,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713490.966566,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713491.066874,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713491.1676605,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713491.2681825,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713491.3689375,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713491.4694676,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713491.570724,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713491.6712015,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713491.771892,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713491.8724456,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713491.973185,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713492.0739381,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713492.175195,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713492.2758167,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713492.3766263,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713492.4774125,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713492.5782113,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713492.6789117,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713492.7795393,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713492.8803203,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713492.9812322,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713493.081766,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713493.1824806,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713493.2830517,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713493.3835933,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713493.484193,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713493.584786,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713493.6855109,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
1777713493.7860737,0.0,0.0,0.0,0.0,0.0,0.0,False,plan_lookahead,0.358,0.314,0.686,false,False,True,True
