episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,waypoints_reached,waypoint_count,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
28,5,hard_two_turn_sequences,-1.6499308266807482,-0.6599988770285437,2.241223731661464e-06,local_goal_sequence,0.35,-0.16,0.0,0.55,1.75,-1.57,1049.744123185008,True,False,False,0.7779657405201242,0.3518509864807129,0.3848376280978772,0.27811200703305555,0.27811200703305555,0.10672562106482164,60,31,2,3,0.3518509864807129,0.497435063123703,True,1.0,,,79,1.0,0.0,83.84,1049.516139585137,running,-486.827880859375,54.640621185302734,0.14314880967140198
29,5,hard_two_turn_sequences,-1.619930791987493,-0.6999988460896248,2.135052583331601e-06,local_goal_sequence,0.38,-0.2,0.0,1.05,1.25,-1.57,1049.1338266056287,True,False,False,0.8341775719877238,0.3361557722091675,0.4294182110716779,0.2778840685239625,0.2778840685239625,0.15153414254771536,62,44,2,3,0.3361557722091675,0.47010692954063416,True,1.0,,,81,1.0,0.0,83.56,1052.8521134773625,running,0.0,107.30967712402344,0.14102107286453247
30,5,hard_two_turn_sequences,-1.6499315582003802,-0.33999888929560906,2.2003830907412487e-06,local_goal_sequence,0.35,0.16,0.0,-0.55,-1.75,1.57,1049.1895059963363,True,False,False,0.7824960816819033,0.4052866995334625,0.3848376280978772,0.2752120569313843,0.2752120569313843,0.10962557116649291,59,38,2,3,0.4052866995334625,0.4591166079044342,True,1.0,,,80,1.0,0.0,83.04,1053.6180965943092,running,0.0,152.8680419921875,0.13846620917320251
31,5,hard_two_turn_sequences,-1.6199338364741285,-0.29999891896560815,2.303232513726764e-06,local_goal_sequence,0.38,0.2,0.0,0.55,-1.75,1.57,1057.0579466202885,True,False,False,0.8827832876787718,0.3749254047870636,0.42941821107167777,0.27578139811570784,0.27578139811570784,0.15363681295596993,66,44,2,3,0.42571815848350525,0.3749254047870636,True,1.0,,,86,1.0,0.0,82.96,1053.455905468009,running,0.0,137.10568237304688,0.13653716444969177
32,5,hard_two_turn_sequences,-1.6199306739306927,-0.29999898089163185,2.495797149122738e-06,local_goal_sequence,0.38,0.2,0.0,-1.05,-1.25,1.57,1061.7678612827604,True,False,False,0.8443312534944064,0.3928413391113281,0.42941821107167794,0.27628443389856466,0.27628443389856466,0.15313377717311327,68,47,2,3,0.39775022864341736,0.39974093437194824,True,1.0,,,87,1.0,0.0,83.24,1053.8575485707233,running,-478.1185607910156,118.35623168945312,0.13378751277923584
33,5,hard_two_turn_sequences,-1.6499308546956302,-0.6599988759789103,2.2350990077069675e-06,local_goal_sequence,0.35,-0.16,0.0,-0.15,1.25,-1.57,1049.3017187062558,True,False,False,0.7655078690015367,0.3924047648906708,0.38483762809787697,0.2756360342903494,0.2756360342903494,0.10920159380752759,58,41,2,3,0.3924047648906708,0.45460280776023865,True,1.0,,,76,1.0,0.0,83.04,1053.7418283167121,running,-468.1172180175781,79.73146057128906,0.13202722370624542
34,5,hard_two_turn_sequences,-1.6199307935499068,-0.6999988488122693,2.137246502143013e-06,local_goal_sequence,0.38,-0.2,0.0,-0.55,1.75,-1.57,1050.314583195202,True,False,False,0.8457380224972958,0.3467361330986023,0.42941821107167777,0.2740658652680581,0.2740658652680581,0.15535234580361967,61,48,2,3,0.3467361330986023,0.45042183995246887,True,1.0,,,82,1.0,0.0,82.4,1053.6392637576832,running,-482.786376953125,83.03843688964844,0.13105447590351105
35,5,hard_two_turn_sequences,-1.649932641675109,-0.3399994723769816,2.910734212602055e-06,local_goal_sequence,0.35,0.16,0.0,-0.55,-1.75,1.57,1049.0854955988477,True,False,False,0.757644719866538,0.4058745801448822,0.38483762809787714,0.2772847646117898,0.2772847646117898,0.10755286348608734,53,44,2,3,0.4058745801448822,0.4523024559020996,True,1.0,,,75,1.0,0.0,82.32,1053.630187188528,running,0.0,87.80624389648438,0.13100047409534454
36,5,hard_two_turn_sequences,-1.6199309101728325,-0.6999988143629412,2.1099537852229087e-06,local_goal_sequence,0.38,-0.2,0.0,1.05,1.25,-1.57,1059.5104378801511,True,False,False,0.8650915168255151,0.36866673827171326,0.4294182110716777,0.2693221359663684,0.2693221359663684,0.16009607510530932,64,48,2,3,0.36866673827171326,0.42680802941322327,True,1.0,,,84,1.0,0.0,82.28,1053.9192466268819,running,0.0,81.2644271850586,0.12968403100967407
37,5,hard_two_turn_sequences,-1.6199448940736612,-0.2999990678896698,2.0289072968419384e-06,local_goal_sequence,0.38,0.2,0.0,1.05,-1.25,1.57,1062.7147550516027,True,False,False,0.8430080849781686,0.3629526197910309,0.42941821107167777,0.27245342001042905,0.27245342001042905,0.15696479106124872,67,50,2,3,0.42190229892730713,0.3629526197910309,True,1.0,,,90,1.0,0.0,82.44,1053.8670466325464,running,0.0,52.31250762939453,0.1277965009212494
38,5,hard_two_turn_sequences,-1.6499315455111745,-0.3399988787815255,2.232956885527084e-06,local_goal_sequence,0.35,0.16,0.0,-0.55,-1.75,1.57,1050.9636204248825,True,False,False,0.7885714374559847,0.3861948549747467,0.3848376280978771,0.2774495151641451,0.2774495151641451,0.10738811293373196,58,46,2,3,0.4576358199119568,0.3890685737133026,True,1.0,,,83,1.0,0.0,82.2,1053.2463342947342,running,-491.0157775878906,86.76492309570312,0.12657040357589722
39,5,hard_two_turn_sequences,-1.6499315557320082,-0.3399988899237392,2.202251928473671e-06,local_goal_sequence,0.35,0.16,0.0,-1.05,-1.25,1.57,1049.3037467356362,True,False,False,0.7918799374878455,0.3883030414581299,0.38483762809787714,0.27774223545368104,0.27774223545368104,0.1070953926441961,51,46,2,3,0.45632392168045044,0.3900482654571533,True,1.0,,,79,1.0,0.0,81.88,1053.0608724429655,running,0.0,118.57623291015625,0.12510474026203156
40,5,hard_two_turn_sequences,-1.649931547054685,-0.3399988776663939,2.2484366269973457e-06,local_goal_sequence,0.35,0.16,0.0,-0.15,-1.25,1.57,1051.7226844891052,True,False,False,0.7701417545094981,0.40376541018486023,0.3848376280978771,0.27168080197170036,0.27168080197170036,0.11315682612617672,54,44,2,3,0.4274037182331085,0.40598854422569275,True,1.0,,,78,1.0,0.0,81.92,1053.1454112717233,running,0.0,85.51005554199219,0.12393900752067566
41,5,hard_two_turn_sequences,-1.6199307398604095,-0.699998807380742,2.259928167155086e-06,local_goal_sequence,0.38,-0.2,0.0,1.05,1.25,-1.57,1057.1891843376432,True,False,False,0.8498794590230649,0.36338233947753906,0.42941821107167766,0.277172332880233,0.277172332880233,0.15224587819144464,64,53,2,3,0.36338233947753906,0.4336484372615814,True,1.0,,,85,1.0,0.0,82.16,1053.3583215148872,running,-503.3778991699219,59.15936279296875,0.1228284016251564
42,5,hard_two_turn_sequences,-1.6499316477211134,-0.3399988767456813,2.1182196162356834e-06,local_goal_sequence,0.35,0.16,0.0,0.55,-1.75,1.57,1053.9307335346607,True,False,False,0.7574294573905954,0.414750337600708,0.384837628097877,0.2795009589004769,0.2795009589004769,0.10533666919740015,56,43,2,3,0.43394598364830017,0.414750337600708,True,1.0,,,77,1.0,0.0,82.2,1053.4883011420898,running,0.0,29.3668212890625,0.12011910229921341
43,5,hard_two_turn_sequences,-1.649930886467616,-0.6599989072230332,2.1654231295180013e-06,local_goal_sequence,0.35,-0.16,0.0,-0.55,1.75,-1.57,1049.6042454652563,True,False,False,0.7588520463706259,0.37590137124061584,0.3848376280978772,0.27890112133680606,0.27890112133680606,0.10593650676107114,57,40,2,3,0.37590137124061584,0.48232951760292053,True,1.0,,,75,1.0,0.0,82.08,1053.4437986846776,running,-496.0045166015625,88.87956237792969,0.11927992850542068
44,5,hard_two_turn_sequences,-1.6199329008056371,-0.699998934787535,2.2669768847919183e-06,local_goal_sequence,0.38,-0.2,0.0,0.55,1.75,-1.57,1059.6833603218138,True,False,False,0.8552031664920956,0.371766060590744,0.4294182110716779,0.27350986834651553,0.27350986834651553,0.15590834272516235,62,50,2,3,0.371766060590744,0.4261694848537445,True,1.0,,,83,1.0,0.0,82.32,1053.6466455758768,running,0.0,42.321388244628906,0.11879594624042511
45,5,hard_two_turn_sequences,-1.619930738404449,-0.6999988098251065,2.2414497778962014e-06,local_goal_sequence,0.38,-0.2,0.0,-1.05,1.25,-1.57,1059.9687835316208,True,False,False,0.8573117045333302,0.36742258071899414,0.4294182110716777,0.2720901839072068,0.2720901839072068,0.15732802716447092,61,50,2,3,0.36742258071899414,0.4194723069667816,True,1.0,,,84,1.0,0.0,81.92,1053.7890747701435,running,0.0,110.35978698730469,0.11788588762283325
46,5,hard_two_turn_sequences,-1.649937421862773,-0.6599990866049369,2.2310133327253694e-06,local_goal_sequence,0.35,-0.16,0.0,-0.15,1.25,-1.57,1048.8030907619261,True,False,False,0.7620399671358519,0.38704222440719604,0.3848376280978772,0.2739683036393815,0.2739683036393815,0.11086932445849568,54,40,2,3,0.38704222440719604,0.4678977429866791,True,1.0,,,74,1.0,0.0,81.76,1053.7071985906243,running,0.0,55.4566535949707,0.11572536826133728
47,5,hard_two_turn_sequences,-1.6499315852922545,-0.33999887549808383,2.2517639155373254e-06,local_goal_sequence,0.35,0.16,0.0,0.55,1.75,-1.57,1051.367578207287,True,False,False,0.7679011626405177,0.3906964063644409,0.38483762809787725,0.26901534081054057,0.26901534081054057,0.11582228728733668,55,48,2,3,0.4471494257450104,0.4155212342739105,True,1.0,,,80,1.0,0.0,81.84,1053.7006827009575,running,0.0,59.95136260986328,0.11449559777975082
48,5,hard_two_turn_sequences,-1.6199338195121402,-0.2999988732624064,2.411320706760059e-06,local_goal_sequence,0.38,0.2,0.0,1.05,-1.25,1.57,1054.7575838036407,True,False,False,0.8339374660048396,0.3670160174369812,0.42941821107167777,0.27975918643078745,0.27975918643078745,0.14965902464089031,61,46,2,3,0.42145857214927673,0.3670160174369812,True,1.0,,,85,1.0,0.0,81.92,1053.72236513464,running,-479.5845642089844,74.8633804321289,0.11461738497018814
49,5,hard_two_turn_sequences,-1.619933837390099,-0.29999891501845044,2.3058688299767206e-06,local_goal_sequence,0.38,0.2,0.0,-0.55,1.75,-1.57,1053.1938406006927,True,False,False,0.8385220545393568,0.3421711325645447,0.42941821107167777,0.275330399373808,0.275330399373808,0.15408781169786978,63,48,2,3,0.43571212887763977,0.3421711325645447,True,1.0,,,84,1.0,0.0,82.08,1053.7167887450228,running,-488.9752197265625,74.93952178955078,0.11368408054113388
50,5,hard_two_turn_sequences,-1.6499308453882,-0.6599988779092463,2.2445249075278236e-06,local_goal_sequence,0.35,-0.16,0.0,-1.05,-1.25,1.57,1049.9363659681833,True,False,False,0.758477531911186,0.3549914062023163,0.38483762809787714,0.27515654082852453,0.27515654082852453,0.1096810872693526,53,43,2,3,0.3549914062023163,0.47860100865364075,True,1.0,,,75,1.0,0.0,81.36,1053.4311471416374,running,0.0,67.75454711914062,0.11355113238096237
51,5,hard_two_turn_sequences,-1.6199389144116303,-0.29999888140054637,2.1934839032458526e-06,local_goal_sequence,0.38,0.2,0.0,-0.55,-1.75,1.57,1053.2370639815424,True,False,False,0.8472907649033573,0.34192222356796265,0.4294182110716779,0.27164688655795044,0.27164688655795044,0.15777132451372744,59,46,2,3,0.42433738708496094,0.34192222356796265,True,1.0,,,83,1.0,0.0,80.92,1053.2793325237797,running,-488.3553161621094,41.41451644897461,0.11205267161130905
52,5,hard_two_turn_sequences,-1.649931544144885,-0.3399988799603757,2.233186670816648e-06,local_goal_sequence,0.35,0.16,0.0,-0.55,1.75,-1.57,1050.552603564787,True,False,False,0.7645073182483613,0.4063618779182434,0.3848376280978772,0.2768423164373295,0.2768423164373295,0.10799531166054771,50,43,2,3,0.45655688643455505,0.41099613904953003,True,1.0,,,76,1.0,0.0,80.84,1053.28138959403,running,-483.973388671875,39.649261474609375,0.11194073408842087
53,5,hard_two_turn_sequences,-1.6499311875772884,-0.33999909182500654,2.419152113504586e-06,local_goal_sequence,0.35,0.16,0.0,1.05,-1.25,1.57,1050.4891988933712,True,False,False,0.7619715327980349,0.400431752204895,0.38483762809787714,0.2789611971274546,0.2789611971274546,0.10587643097042254,49,45,2,3,0.4314841032028198,0.416178435087204,True,1.0,,,74,1.0,0.0,80.64,1053.3111926223646,running,-505.14422607421875,31.73935317993164,0.11147359013557434
54,5,hard_two_turn_sequences,-1.6199307987748355,-0.6999988261462462,2.1913066897550004e-06,local_goal_sequence,0.38,-0.2,0.0,-1.05,-1.25,1.57,1054.9263111730154,True,False,False,0.8517658518500794,0.36671486496925354,0.4294182110716778,0.27171618602164216,0.27171618602164216,0.15770202505003567,67,54,2,3,0.36671486496925354,0.44102805852890015,True,1.0,,,87,1.0,0.0,80.88,1053.54289200506,running,0.0,73.07186889648438,0.11126615852117538
