episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
28,0,hard_forward_08,-0.9999380253543344,-0.49999756732843903,2.2368589734113394e-06,random_local_offset,1.0,0.0,0.0,-1.9,0.55,0.0,1017.7247815393773,True,False,False,0.7163467846415432,0.276760458946228,1.0,0.34470400101638426,0.34470400101638426,0.6552959989836158,23,0,0.276760458946228,3.5,True,0.6,,,69,1.0,0.0,59.16,1017.0632550476822,running,-602.4889526367188,163.0461883544922,0.14722776412963867
29,0,hard_forward_08,-1.1999312305596441,-0.4999979248396282,2.162718686524375e-06,random_local_offset,0.8,0.0,0.0,-1.9,0.55,0.0,1014.4607713865281,True,False,False,0.4992665233933307,0.451581209897995,0.8,0.3440788783347796,0.3440788783347796,0.4559211216652204,2,0,0.451581209897995,3.5,True,0.6,,,47,1.0,0.0,58.2,1016.856916603139,running,0.0,29.84811019897461,0.14797896146774292
30,0,hard_forward_08,-1.1999312060232228,-0.49999787359695824,2.2213324495508705e-06,random_local_offset,0.8,0.0,0.0,-1.9,0.55,0.0,1015.0177524220431,True,False,False,0.4903891011729071,0.48013731837272644,0.8,0.34340178873498206,0.34340178873498206,0.456598211265018,0,0,0.48013731837272644,3.5,False,0.56,,,48,1.0,0.0,57.28,1016.6945562774974,running,0.0,40.70996856689453,0.14826810359954834
31,0,hard_forward_08,-1.1999312245788871,-0.4999979070760127,2.1903498057532987e-06,random_local_offset,0.8,0.0,0.0,-1.9,-1.55,0.0,1015.5359322690217,True,False,False,0.48891242220760306,0.4835614264011383,0.7999999999999999,0.3411708483323804,0.3411708483323804,0.4588291516676195,0,0,0.4835614264011383,3.5,False,0.56,,,47,1.0,0.0,57.28,1016.6643888215434,running,-626.264892578125,66.7847900390625,0.14779438078403473
32,0,hard_forward_08,-1.1999311891641773,-0.4999978676507099,2.2390009731316574e-06,random_local_offset,0.8,0.0,0.0,-2.0,-0.5,0.0,1015.4465506753083,True,False,False,0.49564083926812624,0.4639087915420532,0.8,0.34018246280904646,0.34018246280904646,0.4598175371909536,0,0,0.4639087915420532,3.5,False,0.52,,,49,1.0,0.0,56.4,1016.5503324031547,running,0.0,27.129005432128906,0.14851480722427368
33,0,hard_forward_08,-1.1999313192916548,-0.4999978838990447,2.510352350118478e-06,random_local_offset,0.8,0.0,0.0,-1.9,-1.55,0.0,1014.3412905973533,True,False,False,0.4945822001478413,0.45508646965026855,0.7999999999999999,0.34876738478612435,0.34876738478612435,0.4512326152138756,1,0,0.45508646965026855,3.5,False,0.52,,,48,1.0,0.0,56.36,1016.4709621756067,running,0.0,32.9131965637207,0.14915844798088074
34,0,hard_forward_08,-0.9999313014341027,-0.4999974955211373,2.1154630546943725e-06,random_local_offset,1.0,0.0,0.0,-1.9,-1.55,0.0,1017.5352178869033,True,False,False,0.7109746991556086,0.2697356641292572,1.0,0.3446437155110915,0.3446437155110915,0.6553562844889085,19,0,0.2697356641292572,3.5,True,0.52,,,67,1.0,0.0,56.16,1016.4044835802175,running,-600.0872802734375,29.82814598083496,0.14829862117767334
35,0,hard_forward_08,-1.199931198334025,-0.4999978381539036,2.2749662064498137e-06,random_local_offset,0.8,0.0,0.0,-1.9,-1.55,0.0,1015.4654805974857,True,False,False,0.48408707938760376,0.4751940965652466,0.8000000000000002,0.34291242315397724,0.34291242315397724,0.4570875768460229,0,0,0.49656206369400024,3.5,False,0.48,,,47,1.0,0.0,56.0,1016.4522171712125,running,0.0,91.71304321289062,0.14869338274002075
36,0,hard_forward_08,-0.999931232146872,-0.49999747638584924,2.1798967336968027e-06,random_local_offset,1.0,0.0,0.0,-1.9,-1.55,0.0,1017.6925315609816,True,False,False,0.7023296899847452,0.2737915515899658,1.0,0.3467922086201116,0.3467922086201116,0.6532077913798884,17,0,0.2887705862522125,3.5,True,0.52,,,64,1.0,0.0,56.64,1016.5364355674589,running,0.0,158.59080505371094,0.14890192449092865
37,0,hard_forward_08,-0.9999308384594678,-0.4999973913465889,2.454145686495028e-06,random_local_offset,1.0,0.0,0.0,-1.9,-1.55,0.0,1017.9029366937875,True,False,False,0.7055987130546386,0.2827689051628113,1.0,0.3457914821780678,0.3457914821780678,0.6542085178219321,21,0,0.3005260229110718,3.5,True,0.56,,,67,1.0,0.0,57.48,1016.6388648031176,running,-594.994384765625,37.102352142333984,0.14891432225704193
