episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
42,1,stage_1_5,-0.7,-0.1,0.0,1021.5276755169202,True,False,False,1.3877293166830633,0.34555038809776306,1.3600804153193793,0.3447479747510757,0.3447479747510757,1.0153324405683035,158,0.9230769230769231,0.0,142.0,871.82112035872,running,0.0,357.87835693359375,0.14656300842761993
43,1,stage_1_5,-0.7,-0.1,0.0,1023.8884887190763,True,False,False,1.1254424429230554,0.2502346634864807,1.3600811976320686,0.34767380039790996,0.34767380039790996,1.0124073972341585,118,0.9285714285714286,0.0,140.28571428571428,882.6830752416026,running,0.0,195.99765014648438,0.14837045967578888
44,1,stage_1_5,-0.7,-0.1,0.0,952.7966678104324,True,False,False,1.1294286816257748,0.2194153368473053,1.3600870073430733,0.341248748982975,0.341248748982975,1.0188382583600983,116,0.9333333333333333,0.0,138.66666666666666,887.3573147461914,running,0.0,165.5921630859375,0.15256178379058838
45,1,stage_1_5,-0.7,-0.1,0.0,1008.433992634295,True,False,False,1.1270118669092548,0.23249907791614532,1.3600812160419566,0.3408803568157455,0.3408803568157455,1.0192008592262112,115,0.9375,0.0,137.1875,894.9246071141978,running,-408.4970703125,160.2598876953125,0.15763092041015625
46,1,stage_1_5,-0.7,-0.1,0.0,966.0671174447601,True,False,False,1.108296979769987,0.218289315700531,1.3600851344248084,0.34696634331107207,0.34696634331107207,1.0131187911137363,115,0.9411764705882353,0.0,135.88235294117646,899.1094606630544,running,0.0,103.11976623535156,0.1599249690771103
47,1,stage_1_5,-0.7,-0.1,0.0,949.0148500811335,True,False,False,1.1041276593936256,0.1357828676700592,1.360081209936682,0.3449712513904624,0.3449712513904624,1.0151099585462195,120,0.9444444444444444,0.0,135.0,901.8819822973921,running,0.0,739.914306640625,0.16413557529449463
48,1,stage_1_5,-0.7,-0.1,0.0,986.8276407969202,True,False,False,1.1067715379145493,0.22411192953586578,1.3600809462841337,0.3438004719316193,0.3438004719316193,1.0162804743525145,115,0.9473684210526315,0.0,133.94736842105263,906.3528064289461,running,-474.4811706542969,438.712890625,0.16640210151672363
49,1,stage_1_5,-0.7,-0.1,0.0,1015.8386708592998,True,False,False,1.1165710367728245,0.2439454197883606,1.360081227604095,0.3476906687283736,0.3476906687283736,1.0123905588757214,115,0.95,0.0,133.0,911.8270996504638,running,0.0,164.9773712158203,0.16761012375354767
50,1,stage_1_5,-0.7,-0.1,0.0,962.7965680151344,True,False,False,1.0959235810377514,0.20391540229320526,1.3600812117682084,0.34122143810179395,0.34122143810179395,1.0188597736664144,112,0.95,0.0,133.1,912.3543660240296,running,0.0,156.38360595703125,0.16879986226558685
51,1,stage_1_5,-0.7,-0.1,0.0,1023.9515714898969,True,False,False,1.1289131180002199,0.25028544664382935,1.3600811990267678,0.34422929987132206,0.34422929987132206,1.0158518991554457,119,0.95,0.0,133.4,915.8414571320891,running,-451.9535217285156,206.15994262695312,0.16794197261333466
52,1,stage_1_5,-0.7,-0.1,0.0,1018.4510823992475,True,False,False,1.1177767450488363,0.2406572550535202,1.3600812034495147,0.3419518559905301,0.3419518559905301,1.0181293474589845,116,0.95,0.0,133.15,919.8591134662768,running,-452.9210205078125,206.36558532714844,0.1686936467885971
53,1,stage_1_5,-0.7,-0.1,0.0,1023.5922912289058,True,False,False,1.1135866338396034,0.25516581535339355,1.3600811820442877,0.348433418197705,0.348433418197705,1.0116477638465828,116,0.95,0.0,133.5,923.1481482818488,running,-434.6021728515625,420.68927001953125,0.1677972823381424
54,1,stage_1_5,-0.7,-0.1,0.0,1007.9208519518285,True,False,False,1.1243794511893168,0.24401035904884338,1.360080343844323,0.345889204059769,0.345889204059769,1.014191139784554,118,0.95,0.0,133.85,925.500814998802,running,-436.9750061035156,252.77386474609375,0.16662336885929108
55,1,stage_1_5,-0.7,-0.1,0.0,1007.9847416863327,True,False,False,1.1172434226167525,0.2343152016401291,1.360081196205224,0.34511660518385195,0.34511660518385195,1.014964591021372,115,0.95,0.0,133.55,927.1760118959637,running,0.0,542.8416748046875,0.16488930583000183
56,1,stage_1_5,-0.7,-0.1,0.0,960.9842989455002,True,False,False,1.0878929429273696,0.19558462500572205,1.360081296708434,0.3442151111802241,0.3442151111802241,1.0158661855282098,112,0.95,0.0,133.6,927.1727120334705,running,0.0,147.37359619140625,0.1634949892759323
57,1,stage_1_5,-0.7,-0.1,0.0,962.6009109284759,True,False,False,1.1052883806056444,0.2219906896352768,1.360081190427594,0.34141454110070846,0.34141454110070846,1.0186666493268857,111,0.95,0.0,127.45,937.3179645356731,running,-479.3899230957031,172.73846435546875,0.16273941099643707
58,1,stage_1_5,-0.7,-0.1,0.0,994.1548625693491,True,False,False,1.1184766174177398,0.22733066976070404,1.3600812970231189,0.34626956369695144,0.34626956369695144,1.0138117333261674,117,0.95,0.0,127.75,939.1471825287396,running,0.0,135.77688598632812,0.1594330221414566
59,1,stage_1_5,-0.7,-0.1,0.0,968.6771020216859,True,False,False,1.1051939789740475,0.2118741273880005,1.3600812804832445,0.3442670369101294,0.3442670369101294,1.0158142435731152,113,1.0,0.0,120.9,995.1691063696957,promoted,-424.88165283203125,143.00518798828125,0.15899616479873657
60,2,stage_2a,-0.5,0.0,0.0,908.0424102474458,True,False,False,1.3183574900865247,0.18047372996807098,1.5810734715689356,0.3458575102578486,0.3458575102578486,1.235215961311087,138,1.0,0.0,138.0,908.0424102474458,running,-457.0268859863281,262.702880859375,0.15482546389102936
